clave,nombre,activo,contacto,tipo,tipos_servicio,descripcion_servicios,metodo_pago,cuenta_pago,correo_e_contacto,razon_social,nombre_fiscal,regimen_fiscal,direccion,exterior,interior,colonia,cp,ciudad,estado,pais,telefono1,telefono2,fax,telefono800,correo_e,sitio_web,rfc,cuenta1,banco1,clabe1,cuenta2,banco2,clabe2,cuenta3,banco3,clabe3,cuenta4,banco4,clabe4,cuenta5,banco5,clabe5,titulo_anexo,vigencia_anexo,titulo_anexo2,vigencia_anexo2,titulo_anexo3,vigencia_anexo3,acepta_pago_directo,tasa_iva,agregar_iva_comision,pct_comision,pcc_sabre,codigo_bookingmotor,saldo_monedero,proveedor_corp,proveedor_corporativo,notas,imagen_cupon
23317,"THE LUXURY TRAVEL BOOK",1,Reservations,V,PKT,"Agencia de alquiler de alojamientos para vacaciones en Londres, Inglaterra",,,info@theluxurytravelbook.com,"THE LUXURY TRAVEL BOOK LIMITED",,," 2.5, LM.LF, THE LEATHER MARKET, Weston St, SE1 3ER",,,,,Londres,,"Reino Unido","+44 20 7586 5342",,,,,,GB182582000,,Natwest,,,"IBAN GB22 NWBK 6072 1163 0079 ","NWBK GB 2L",,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,"For bank transfers:
The Luxury Travel Book, UK EURO ACCOUNT
NatWest, 16a Westbourne Grove, London W2 5WG
SWIFT BIC: NWBK GB 2L
IBAN: GB22 NWBK 6072 1163 0079 16",0
23323,"VILLA D ESTE",1,Reservations,V,HTL,,,,info@villadeste.it,"VILLA D'ESTE SRLS",,,"Via Regina, 40, 22012",,,,,"Cernobbio CO",,Italia,"+39 031 3481",,,,,,"08878000721 &#8",,,,"VENTA DIRECTA",,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,4778,,0.00,0,0,,0
23324,"RELAIS SAN MAURIZIO",1,Reservations,V,HTL,,,,info@relaissanmaurizio.it,"San Maurizio SA",,,"Località San Maurizio, 39, 12058 ",,,,,"Santo Stefano Belbo CN",,Italia,"+39 0141 841900",,,,,,IT004213A1Z5ZOW,,,,"VENTA DIRECTA",,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,83722,,0.00,0,0,,0
23331,"ICONS AND STYLES",1,"Burcu Sahmali | Partner, Executive Director",V,PKT,,,,burcu@iconsandstyles.com,"ICONS AND STYLES TURIZM A.S.","ICONS AND STYLES TURIZM ",,"Akmerkez B3 Blok No 56/9 No 9 Besiktas 34340",,,,34340,Istanbul,,Turquia,"+90 212 219 24 40",,,,,,4650516717,"Cuenta: 9072679",,,"Cuenta: 9072679","IBAN TR07 0006 2000 3950 00090","Swift: TGBATRISXXX  Turkiye",,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,"Turkiye Garanti Bankasi
Bank Adress Kultur Mah. Ahmet Adnan Saygun Cad. No: 21/A 34425 Besiktas &#304;stanbul",0
23362,"SKI USA",1,"Vitor Alves",V,PKT,,,,vitor.alves@skiusa.com,"SKIUSA VACATIONS LLC","SKIUSA SKI TRAVEL EXPERT TOUR OPERATOR",,"5850 SW 33rd Street. 33155",,,,,Florida,Miami,"Estados Unidos","+1 305 988 2020","+1 305 766 6646",,,,www.skiusa.com,81-1377536,,"CHASE BANK",,"802793708 Routing: 267084131",,"Swift: CHASUS33",,,,,,,,,,"Datos Proveedor",0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,"CHASE BANK
Account: 802793708
Swift: CHASUS33
Routing: 267084131
SKI USA VACATIONS LLC
5850 SW 33rd Street
MIAMI, FL 33155",0
23376,"One Fine Stay",1,,V,PKT,,,,,,,,,,,,,,,,"+18339215716 ","+447520633835 ",+33757911928,,,,,,,,,,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
23401,"Privilege Italia",1,,V,PKT,,,,,,,,,,,,,,,," +39 0185 2678604",,,,,,,,,,,,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,"Bank Account Details
Bank: BPER BANCA SPA
Bank Address: Via Roma 28, 80076 Capri NA
Account name :
Bank Account number
BIC/SWIFT Code : BPMOIT22
IBAN code: IT34J0538739790000003316439",0
23461,"ANA KODER",1,Reservations,V,PKT,,,,contact@anakoder.com,"ANA KODER TOURS VIENA",,,"Landstraßer Hauptstraße 116/16, 1030 Viena",,,,,,,Austria,"+43 664 3005375",,,,,,NA,,"UniCredit Bank Austria AG",,"account nr: 5573 5250 5280 938","iban: AT341100010524386900","bic code: BKAUATWW",,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,"UniCredit Bank Austria AG
Stephansplatz 2
1010 Vienna
iban: AT341100010524386900 bic code: BKAUATWW
account nr: 5573 5250 5280 9383",0
23525,"CHATEAU VOLTAIRE PARIS",1,Reservations,V,HTL,,,,contact@hotelchateauvoltaire.com,"CHATEAU VOLTAIRE SAS",,,"55 Rue Saint-Roch, 75001 ",,,,,París,,Francia,"+33 1 53 45 91 00",,,,,,852915461,"Tarjeta AMEX",,,"VENTA DIRECTA",,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,392255,,0.00,0,0,,0
23526,"Venecia nolinski",1,,V,,,,,,,,,,,,,,,,,+,,,,,,,"Tarjeta AMEX",,,,,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
